ID,Start time,Completion time,Which of the following most closely reflects your professional role at the time of the 8th Annual CIT Training Academy? Select one.,"If you selected ""Law Enforcement not based in Missoula"", in what County do you currently work? Write-in below.",When are you taking this survey? Select one.,What's one thing that you hope to takeaway from the 40-hour Crisis Intervention Team Training Academy?,What's one thing that you immediately took away from the 40-hour Crisis Intervention Team Training Academy?,"What else would you like to share with the Missoula Crisis Intervention Team Program and/or Trainers as relates to the training you completed, your experience of the training, and/or your experien...",How comfortable are you with your current knowledge of mental illness? Select one.,How aware are you of community resources available to people living with mental illness? Select one.,How knowledgeable are you about civil commitment laws? Select one.,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,Do you believe that the average person living with a mental illness is more or less aggressive than an individual not living with a mental illness? Select one.,Do you believe the average person living with a mental illness is more or less likely to commit a violent crime than an individual not living with a mental illness? Select one.,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,"Overall, how well prepared do you think other law enforcement officers are to appropriately engage with someone experiencing a mental health crisis? Select one.",How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,timepoint,"What's one way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?",What's one thing that you hoped to take away from the 40-hour Crisis Intervention Team Training Academy?,"What's one surprising way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?"
20,2024-10-16 13:28:42,2024-10-16 13:35:11,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 6 months after the April 2024 Academy,Continuing to build relationships with and utilize agency partners who attended,Ways to work with individuals in the refugee community ,,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Expert,Somewhat prepared,Very comfortable,Expert,m3_6,situational awareness ,,
21,2024-10-16 16:02:14,2024-10-16 16:09:18,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 6 months after the April 2024 Academy,Better understanding of how civil commitment laws intersect with law enforcement's understanding and engagement with individuals experiencing mental health crisis and need for higher levels of care,"Better understanding of how law enforcement views its actions, and makes decisions about whether or not to engage individuals experiencing a mental health crisis",A lot of gratitude that you all work to put this together each year.  ,Expert,A little aware,Very knowledgeable,Knowledgeable,Familiar,Less aggressive,The same,Very prepared,Moderately prepared,Very comfortable,Moderately confident,m3_6,Better collaboration with law enforcement (makes a huge difference to see how perspectives are different depending on each of our roles),,
22,2024-10-16 20:00:43,2024-10-16 20:15:57,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 6 months after the April 2024 Academy,What I took away was a very good baseline skill set to realize a mental health crisis and the knowledge of how to engage that person.,Confidence ,"I use the skills I learned even more than I thought I would. A couple of my above answers are really between moderate and very on the confidence scale. Very is what I am working towards, but surprise, surprise, I’m a work in progress.",Comfortable,Aware,Knowledgeable,A little knowledgeable,Familiar,The same,The same,Moderately prepared,Somewhat prepared,Moderately comfortable,Moderately confident,m3_6,Multiple calls for service where I was able to engage the person and get the desired result with out a use of force.,,
23,2024-10-17 09:03:38,2024-10-17 09:07:25,Other,,About 6 months after the April 2024 Academy,How to work with other first responders to get someone much needed care in a crisis situation,That I can assist people who struggle with mental health issues and help them towards care,I appreciate the training and hope to one day be able to share my experiences in the field with other students so we can all learn from one another,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,m3_6,I use my CIT training every day in the field as I work with the unsheltered everyday in my job,,
24,2024-10-17 10:34:59,2024-10-17 10:39:43,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 6 months after the April 2024 Academy,Networking with local resources,The de-escalation techniques and how they worked in scenario based training,nothing,Comfortable,Aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Moderately prepared,Very comfortable,Moderately confident,m3_6,Identifying when Lt. Ben Slater uses CIT on me. ,,
25,2024-10-17 12:16:46,2024-10-17 12:19:49,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 6 months after the April 2024 Academy,"Take your time, go slow and listen",loved the cross agency partnership feeling,great job team!,Very comfortable,Aware,Knowledgeable,Very knowledgeable,Very familiar,Less aggressive,The same,Very prepared,Very prepared,Very comfortable,Very confident,m3_6,referred a client to 988 rather than hauling them to the hospital!,,
26,2024-10-17 12:29:18,2024-10-17 12:31:40,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 6 months after the April 2024 Academy,I hope to take away connection with other agencies and the commons knowledge that we shared. ,Situational awareness ,,Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Very familiar,The same,The same,Very prepared,Moderately prepared,Very comfortable,Very confident,m3_6,I have used the universal greeting ,,
27,2024-10-17 15:19:46,2024-10-17 15:25:47,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 6 months after the April 2024 Academy,Skills to better help people in crisis,Slowing down and listening ,I still think about this training every day I work and I have used the resources in the community to help inmates who are being released on multiple occasions now.,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,The same,The same,Very prepared,Moderately prepared,Very comfortable,Very confident,m3_6,I have been able to de escalate people who are upset when they come in to the jail,,
29,2024-10-30 09:57:45,2024-10-30 10:01:29,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 6 months after the April 2024 Academy,Utilizing the skills continuously to work with clients in crisis.,the necessity of the course,I feel that this class should be taken by more people in the mental health field,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Very prepared,Very comfortable,Very confident,m3_6,I use CIT skills almost daily with my clients,,
30,2024-10-31 10:39:32,2024-10-31 11:19:16,Other,,About 6 months after the April 2024 Academy,I hoped to establish working relationships between my role and others who regularly respond to mental health crisis through their positions in our community. ,"One, I'm impressed by the professionalism and skill of CIT trainers.  ",Proud of and grateful for you all and hope that others have the opportunity to participate in this much needed training.  ,Very comfortable,Very aware,Expert,Knowledgeable,Expert,The same,The same,Very prepared,Moderately prepared,Expert,Very confident,m3_6,Assisting in coordinating appropriate responses to mental health crisis to divert individuals from incarceration..  ,,
